ID,Nome,Latitude,Longitude,Pontuacao
1,Pao_de_Acucar,-22.94907020262964,-43.15416809850078,4110
2,Praia_de_Ipanema,-22.986936264033965,-43.204847702085324,6849
3,Praia_do_Arpoador,-22.98848016134515,-43.193073206935665,1644
4,Museu_do_Amanha,-22.89383972817268,-43.17943110335277,3014
5,Jardim_Botanico,-22.963575464371555,-43.2221440904361,1781
6,Theatro_Municipal,-22.908919592240224,-43.17666481442227,329
7,Mosteiro_de_Sao_Bento,-22.896977579254735,-43.17756296402823,164
8,Biblioteca_Nacional,-22.909459252201685,-43.175485535473555,219
9,Museu_Nacional_de_Belas_Artes,-22.908592444368328,-43.17567487509781,603
10,Arcos_da_Lapa,-22.91252942774214,-43.179481812753146,4110
11,Cristo_Redentor,-22.951917185600003,-43.21048926721187,5479
12,Maracana,-22.91222464413875,-43.23014315200598,2740
13,Escadaria_Selaron,-22.915163811459998,-43.17996535121717,2466
14,Pedra_da_Gavea,-22.997753059742205,-43.28466870334957,110
15,CCBB,-22.90103156407339,-43.17654278985762,7671
16,Floresta_da_Tijuca,-22.956068858020473,-43.27983959549501,4932
17,AquaRio,-22.89317172317106,-43.19176283703836,2329
18,Parque_Lage,-22.961241207183004,-43.21307882851846,1233
19,Real_Gabinete_Portugues_de_Leitura,-22.905313859239335,-43.182279231594244,493
20,Praia_de_Copacabana,-22.973669158138936,-43.18533257314661,9589